System Cargo - Departures Performed (Flights)  (January 2000 - August 2021)
Unit: (000)

Period,Total
"January 2000","11377"
"February 2000","11624"
"March 2000","12658"
"April 2000","11701"
"May 2000","13304"
"June 2000","12806"
"July 2000","12860"
"August 2000","13870"
"September 2000","14238"
"October 2000","14205"
"November 2000","13789"
"December 2000","13720"
"January 2001","21918"
"February 2001","20748"
"March 2001","23840"
"April 2001","21931"
"May 2001","23823"
"June 2001","23892"
"July 2001","23402"
"August 2001","25518"
"September 2001","19259"
"October 2001","23781"
"November 2001","23203"
"December 2001","23228"
"January 2002","24694"
"February 2002","23992"
"March 2002","28241"
"April 2002","27061"
"May 2002","29383"
"June 2002","29306"
"July 2002","30902"
"August 2002","31699"
"September 2002","27704"
"October 2002","70460"
"November 2002","64017"
"December 2002","67367"
"January 2003","62760"
"February 2003","58759"
"March 2003","63288"
"April 2003","64950"
"May 2003","64076"
"June 2003","61958"
"July 2003","65791"
"August 2003","66534"
"September 2003","63118"
"October 2003","69534"
"November 2003","59851"
"December 2003","67475"
"January 2004","60911"
"February 2004","58804"
"March 2004","65027"
"April 2004","63685"
"May 2004","61679"
"June 2004","64452"
"July 2004","64610"
"August 2004","64880"
"September 2004","65288"
"October 2004","66732"
"November 2004","63704"
"December 2004","71625"
"January 2005","65473"
"February 2005","64262"
"March 2005","75082"
"April 2005","69993"
"May 2005","67476"
"June 2005","73845"
"July 2005","69385"
"August 2005","73909"
"September 2005","70968"
"October 2005","69204"
"November 2005","69997"
"December 2005","76240"
"January 2006","65736"
"February 2006","62893"
"March 2006","75122"
"April 2006","66905"
"May 2006","69621"
"June 2006","72848"
"July 2006","66848"
"August 2006","76344"
"September 2006","69904"
"October 2006","71047"
"November 2006","71481"
"December 2006","75490"
"January 2007","67334"
"February 2007","63962"
"March 2007","73995"
"April 2007","66260"
"May 2007","72394"
"June 2007","70602"
"July 2007","66843"
"August 2007","74058"
"September 2007","64867"
"October 2007","72159"
"November 2007","68097"
"December 2007","68943"
"January 2008","66559"
"February 2008","64573"
"March 2008","65792"
"April 2008","68505"
"May 2008","67024"
"June 2008","63202"
"July 2008","66535"
"August 2008","64438"
"September 2008","61026"
"October 2008","66791"
"November 2008","57898"
"December 2008","62581"
"January 2009","54835"
"February 2009","51032"
"March 2009","55068"
"April 2009","55200"
"May 2009","53173"
"June 2009","55515"
"July 2009","56533"
"August 2009","53609"
"September 2009","54426"
"October 2009","57658"
"November 2009","52213"
"December 2009","61412"
"January 2010","50952"
"February 2010","50018"
"March 2010","56190"
"April 2010","55193"
"May 2010","54832"
"June 2010","57354"
"July 2010","57317"
"August 2010","55883"
"September 2010","55065"
"October 2010","56405"
"November 2010","54564"
"December 2010","63625"
"January 2011","51918"
"February 2011","50570"
"March 2011","59708"
"April 2011","54993"
"May 2011","53923"
"June 2011","57721"
"July 2011","54818"
"August 2011","58077"
"September 2011","55248"
"October 2011","54102"
"November 2011","54897"
"December 2011","61787"
"January 2012","50598"
"February 2012","52663"
"March 2012","57961"
"April 2012","52862"
"May 2012","57049"
"June 2012","55085"
"July 2012","53092"
"August 2012","57093"
"September 2012","50747"
"October 2012","56424"
"November 2012","55041"
"December 2012","56341"
"January 2013","53574"
"February 2013","49242"
"March 2013","53244"
"April 2013","53028"
"May 2013","55107"
"June 2013","52346"
"July 2013","53434"
"August 2013","55866"
"September 2013","48862"
"October 2013","57392"
"November 2013","52328"
"December 2013","58205"
"January 2014","53180"
"February 2014","49100"
"March 2014","52974"
"April 2014","54218"
"May 2014","55139"
"June 2014","52933"
"July 2014","56679"
"August 2014","55039"
"September 2014","51397"
"October 2014","58154"
"November 2014","52515"
"December 2014","63646"
"January 2015","52944"
"February 2015","50040"
"March 2015","54552"
"April 2015","55236"
"May 2015","54027"
"June 2015","54949"
"July 2015","56773"
"August 2015","53634"
"September 2015","55364"
"October 2015","58237"
"November 2015","52615"
"December 2015","66389"
"January 2016","53674"
"February 2016","51815"
"March 2016","58963"
"April 2016","55960"
"May 2016","54386"
"June 2016","57936"
"July 2016","55496"
"August 2016","58669"
"September 2016","56766"
"October 2016","56731"
"November 2016","58563"
"December 2016","66979"
"January 2017","54222"
"February 2017","51774"
"March 2017","60957"
"April 2017","55144"
"May 2017","59069"
"June 2017","60758"
"July 2017","56785"
"August 2017","63108"
"September 2017","57295"
"October 2017","60738"
"November 2017","63319"
"December 2017","68478"
"January 2018","59291"
"February 2018","54605"
"March 2018","62988"
"April 2018","58246"
"May 2018","63775"
"June 2018","62028"
"July 2018","60313"
"August 2018","64787"
"September 2018","59339"
"October 2018","63982"
"November 2018","64620"
"December 2018","69291"
"January 2019","63433"
"February 2019","56659"
"March 2019","63106"
"April 2019","61055"
"May 2019","64766"
"June 2019","61261"
"July 2019","64444"
"August 2019","65957"
"September 2019","59341"
"October 2019","67906"
"November 2019","63165"
"December 2019","71046"
"January 2020","63396"
"February 2020","58564"
"March 2020","63378"
"April 2020","64367"
"May 2020","67131"
"June 2020","68593"
"July 2020","72285"
"August 2020","70128"
"September 2020","71680"
"October 2020","74226"
"November 2020","69887"
"December 2020","84800"
"January 2021","69641"
"February 2021","61917"
"March 2021","75279"
"April 2021","73671"
"May 2021","71549"
"June 2021","72214"
"July 2021","72102"
"August 2021","71904"


SOURCE: Bureau of Transportation Statistics, T-100 Market and Segment
